排名,名称,主演,上映时间,评分
45,速度与激情5,范·迪塞尔;保罗·沃克;道恩·强森,2011/5/12,9.2
46,驯龙高手,杰伊·巴鲁切尔;杰拉德·巴特勒;亚美莉卡·费雷拉,2010/5/14,9
66,夜访吸血鬼,汤姆·克鲁斯;布拉德·皮特;克尔斯滕·邓斯特,1994/11/11,8.8
54,三傻大闹宝莱坞,阿米尔·汗;黄渤;卡琳娜·卡普,2011/12/8,9.1
73,新龙门客栈,张曼玉;梁家辉;甄子丹,2012/2/24,8.8
74,素媛,李来;薛耿求;严志媛,2013/10/2,9.1
67,钢琴家,艾德里安·布洛迪;艾米莉娅·福克斯;米哈乌·热布罗夫斯基,2002/9/25,8.8
55,黑客帝国3：矩阵革命,基努·里维斯;雨果·维文;凯瑞-安·莫斯,2003/11/5,8.8
47,放牛班的春天,热拉尔·朱尼奥;让-巴蒂斯特·莫尼耶;玛丽·布奈尔,2004/10/16,8.8
75,小鞋子,默罕默德·阿米尔·纳吉;Kamal Mirkarimi;Behzad Rafi,1999/1/22,9
68,本杰明·巴顿奇事,布拉德·皮特;凯特·布兰切特;塔拉吉·P·汉森,2008/12/25,8.8
69,甜蜜蜜,黎明;张曼玉;曾志伟,2015/2/13,9.2
48,勇敢的心,梅尔·吉布森;苏菲·玛索;帕特里克·麦高汉,1995/5/24,8.8
76,大话西游之大圣娶亲,周星驰;朱茵;莫文蔚,2014/10/24,8.8
77,萤火之森,内山昂辉;佐仓绫音;后藤弘树,2011/9/17,9
70,初恋这件小事,马里奥·毛瑞尔;平采娜·乐维瑟派布恩;阿查拉那·阿瑞亚卫考,2012/6/5,8.8
49,神偷奶爸,史蒂夫·卡瑞尔;杰森·席格尔;拉塞尔·布兰德,2010/7/9,9
56,末代皇帝,尊龙;陈冲;彼得·奥图尔,1987/10/23,8.8
50,闻香识女人,阿尔·帕西诺;克里斯·奥唐纳;加布里埃尔·安瓦尔,1992/12/23,8.8
78,教父,马龙·白兰度;阿尔·帕西诺;詹姆斯·肯恩,2015/4/18,9.3
79,穿条纹睡衣的男孩,阿沙·巴特菲尔德;维拉·法梅加;大卫·休里斯,2008/9/12,9
80,时空恋旅人,瑞秋·麦克亚当斯;多姆纳尔·格里森;比尔·奈伊,2013/9/4,8.9
57,少年派的奇幻漂流,苏拉·沙玛;伊尔凡·可汗;塔布,2012/11/22,9.1
81,窃听风暴,乌尔里希·穆埃;塞巴斯蒂安·科赫;马蒂娜·格德克,2006/3/23,9
58,鬼子来了,姜文;姜宏波;陈强,2000/5/12,8.9
82,7号房的礼物,柳承龙;郑镇荣;朴信惠,2013/1/23,8.9
59,大话西游之月光宝盒,周星驰;莫文蔚;吴孟达,2014/10/24,9.6
83,恐怖直播,河正宇;李璟荣;李大为,2013/7/31,8.8
60,致命魔术,休·杰克曼;克里斯蒂安·贝尔;迈克尔·凯恩,2006/10/20,8.8
84,海豚湾,里克·奥巴瑞;路易·西霍尤斯;哈迪·琼斯,2009/7/31,8.9
91,英雄本色,狄龙;张国荣;周润发,2017/11/17,9.2
85,忠犬八公物语,仲代达矢;春川真澄;井川比佐志,1987/8/1,9
92,阿飞正传,张国荣;张曼玉;刘德华,2018/6/25,8.8
86,上帝之城,亚历桑德雷·罗德里格斯;艾莉丝·布拉加;莱安德鲁·菲尔米诺,2002/8/30,8.9
93,爱·回家,俞承豪;金艺芬;童孝熙,2002/4/5,9
87,美国往事,罗伯特·德尼罗;詹姆斯·伍兹;伊丽莎白·麦戈文,2015/4/23,9.1
88,完美的世界,凯文·科斯特纳;克林特·伊斯特伍德;T·J·劳瑟,1993/11/24,8.9
94,海洋,雅克·贝汉;姜文;兰斯洛特·佩林,2011/8/12,9
89,七武士,三船敏郎;志村乔;千秋实,1954/4/26,9.1
95,我爱你,宋在浩;李顺才;尹秀晶,2011/2/17,9
90,一一,吴念真;金燕玲;李凯莉,2000/9/20,8.9
96,黄金三镖客,克林特·伊斯特伍德;李·范·克里夫;埃里·瓦拉赫,1966/12/23,8.9
97,迁徙的鸟,雅克·贝汉;Philippe Labro,2001/12/12,9.1
98,龙猫,秦岚;糸井重里;岛本须美,2018/12/14,9.1
99,天堂电影院,菲利浦·诺瓦雷;赛尔乔·卡斯特利托;蒂兹亚娜·罗达托,2019/6/15,9.2
100,千与千寻,柊瑠美;周冬雨;入野自由,2019/6/21,9.3
