Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,0,0,1,Import,12,Algeria,DZA,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2389400379,,,0
H3,2007,2007,2007,0,0,2,Export,12,Algeria,DZA,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1106293776,,,0
H3,2007,2007,2007,0,0,1,Import,12,Algeria,DZA,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1788173755,,,0
H3,2007,2007,2007,0,0,2,Export,12,Algeria,DZA,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,244267414,,,0
H3,2007,2007,2007,0,0,1,Import,12,Algeria,DZA,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2134757683,,,0
H3,2007,2007,2007,0,0,2,Export,12,Algeria,DZA,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,18090635825,,,0
H3,2007,2007,2007,0,0,1,Import,20,Andorra,AND,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,49517615,,,0
H3,2007,2007,2007,0,0,2,Export,20,Andorra,AND,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2054,,,0
H3,2007,2007,2007,0,0,1,Import,20,Andorra,AND,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,97497410,,,0
H3,2007,2007,2007,0,0,2,Export,20,Andorra,AND,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,20026299,,,0
H3,2007,2007,2007,0,0,1,Import,20,Andorra,AND,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,16602539,,,0
H3,2007,2007,2007,0,0,2,Export,20,Andorra,AND,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,87317,,,0
H3,2007,2007,2007,0,0,1,Import,31,Azerbaijan,AZE,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,278794421,,,0
H3,2007,2007,2007,0,0,2,Export,31,Azerbaijan,AZE,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,10103551,,,0
H3,2007,2007,2007,0,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,471197781,,,0
H3,2007,2007,2007,0,0,2,Export,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,19731191,,,0
H3,2007,2007,2007,0,0,1,Import,31,Azerbaijan,AZE,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,268906040,,,0
H3,2007,2007,2007,0,0,2,Export,31,Azerbaijan,AZE,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,289169577,,,0
H3,2007,2007,2007,0,0,1,Import,32,Argentina,ARG,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5092953610,,,0
H3,2007,2007,2007,0,0,2,Export,32,Argentina,ARG,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5166608745,,,0
H3,2007,2007,2007,0,0,1,Import,32,Argentina,ARG,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2131320761,,,0
H3,2007,2007,2007,0,0,2,Export,32,Argentina,ARG,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1221234768,,,0
H3,2007,2007,2007,0,0,1,Import,32,Argentina,ARG,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5342303578,,,0
H3,2007,2007,2007,0,0,2,Export,32,Argentina,ARG,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,4344407421,,,0
H3,2007,2007,2007,0,0,1,Import,36,Australia,AUS,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,25898023403,,,0
H3,2007,2007,2007,0,0,2,Export,36,Australia,AUS,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,19967513850,,,0
H3,2007,2007,2007,0,0,1,Import,36,Australia,AUS,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8514043513,,,0
H3,2007,2007,2007,0,0,2,Export,36,Australia,AUS,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1126056378,,,0
H3,2007,2007,2007,0,0,1,Import,36,Australia,AUS,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,21252491888,,,0
H3,2007,2007,2007,0,0,2,Export,36,Australia,AUS,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,8417109882,,,0
H3,2007,2007,2007,0,0,1,Import,40,Austria,AUT,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,6262145064,,,0
H3,2007,2007,2007,0,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2251955890,,,0
H3,2007,2007,2007,0,0,1,Import,40,Austria,AUT,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,64791419991,,,0
H3,2007,2007,2007,0,0,2,Export,40,Austria,AUT,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,47190430476,,,0
H3,2007,2007,2007,0,0,1,Import,40,Austria,AUT,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,5134381138,,,0
