code,year,color,id,name
ARG,1996,"rgb(33,51,171)",'032,Argentina
AUS,1996,"rgb(50,42,163)",'036,Australia
AUT,1996,"rgb(5,228,22)",'040,Austria
AZE,1996,"rgb(8,200,47)",'031,Azerbaijan
BDI,1996,"rgb(47,140,68)",'108,Burundi
BEL,1996,"rgb(7,197,51)",'056,Belgium
BFA,1996,"rgb(33,108,114)",'854,Burkina
BGD,1996,"rgb(26,53,176)",'050,Bangladesh
BGR,1996,"rgb(14,197,44)",'100,Bulgaria
BLZ,1996,"rgb(2,6,248)",'084,Belize
BOL,1996,"rgb(4,27,223)",'068,Bolivia
BRA,1996,"rgb(19,58,178)",'076,Brazil
CAF,1996,"rgb(19,126,110)",'140,Central African Republic
CAN,1996,"rgb(5,5,245)",'124,Canada
CHE,1996,"rgb(8,189,58)",'756,Switzerland
CHL,1996,"rgb(26,43,187)",'152,Chile
CIV,1996,"rgb(19,103,133)",'384,C?te d'Ivoire
CMR,1996,"rgb(38,99,119)",'120,Cameroon
COL,1996,"rgb(3,33,219)",'170,Colombia
COM,1996,"rgb(35,147,73)",'174,The Comoros
CRI,1996,"rgb(2,25,228)",'188,Costa Rica
CYP,1996,"rgb(14,81,160)",'196,Cyprus
CZE,1996,"rgb(5,230,20)",'203,Czech Republic
DMA,1996,"rgb(2,9,244)",'212,Dominica
DNK,1996,"rgb(12,201,42)",'208,Denmark
DOM,1996,"rgb(0,4,251)",'214,Dominican Republic
DZA,1996,"rgb(14,60,181)",'012,Algeria
ECU,1996,"rgb(5,25,225)",'218,Ecuador
EGY,1996,"rgb(16,69,170)",'818,Egypt
ESP,1996,"rgb(16,176,63)",'724,Spain
EST,1996,"rgb(7,197,51)",'233,Estonia
FIN,1996,"rgb(17,151,87)",'246,Finland
FRA,1996,"rgb(15,171,70)",'250,France
FRO,1996,"rgb(11,196,47)",'234,Faroe Islands
GAB,1996,"rgb(16,5,234)",'266,Gabon
GBR,1996,"rgb(8,131,116)",'826,Great Britain (United Kingdom; England)
GEO,1996,"rgb(5,122,127)",'268,Georgia
GHA,1996,"rgb(15,142,98)",'288,Ghana
GIN,1996,"rgb(12,31,212)",'324,Guinea
GMB,1996,"rgb(65,121,69)",'270,Gambia
GRC,1996,"rgb(16,196,43)",'300,Greece
GRD,1996,"rgb(3,11,241)",'308,Grenada
GRL,1996,"rgb(21,87,147)",'304,Greenland
GTM,1996,"rgb(1,22,233)",'320,Guatemala
HKG,1996,"rgb(171,15,68)",'344,Hong Kong
HND,1996,"rgb(1,22,231)",'340,Honduras
HRV,1996,"rgb(8,220,27)",'191,Croatia
HTI,1996,"rgb(0,4,251)",'332,Haiti
HUN,1996,"rgb(6,219,30)",'348,Hungary
IDN,1996,"rgb(47,57,151)",'360,Indonesia
IND,1996,"rgb(21,74,159)",'356,India
IRL,1996,"rgb(6,114,135)",'372,Ireland
ISL,1996,"rgb(8,129,118)",'352,Iceland
ISR,1996,"rgb(4,60,191)",'376,Israel
ITA,1996,"rgb(15,178,62)",'380,Italy
JAM,1996,"rgb(3,5,247)",'388,Jamaica
JPN,1996,"rgb(55,29,171)",'392,Japan
KAZ,1996,"rgb(126,97,32)",'398,Kazakhstan
KGZ,1996,"rgb(85,67,103)",'417,Kyrgyzstan
KIR,1996,"rgb(120,17,118)",'296,Kiribati
KNA,1996,"rgb(1,1,254)",'659,St. Kitts & Nevis
KOR,1996,"rgb(58,35,162)",'410,South Korea
LCA,1996,"rgb(6,14,235)",'662,St. Lucia
LTU,1996,"rgb(1,228,27)",'440,Lithuania
LVA,1996,"rgb(2,227,26)",'428,Latvia
MAC,1996,"rgb(99,33,123)",'446,Macao
MAR,1996,"rgb(25,108,122)",'504,Morocco
MDA,1996,"rgb(2,179,74)",'498,Moldova
MDG,1996,"rgb(55,113,87)",'450,Madagascar
MDV,1996,"rgb(5,140,110)",'462,Maldives
MEX,1996,"rgb(2,6,247)",'484,Mexico
MKD,1996,"rgb(2,194,59)",'807,Republic of Macedonia (FYROM)
MLI,1996,"rgb(88,67,100)",'466,Mali
MLT,1996,"rgb(9,134,112)",'470,Malta
MNG,1996,"rgb(194,45,15)",'496,Mongolia
MOZ,1996,"rgb(14,64,178)",'508,Mozambique
MUS,1996,"rgb(43,88,125)",'480,Mauritius
MWI,1996,"rgb(0,123,132)",'454,Malawi
MYS,1996,"rgb(27,41,187)",'458,Malaysia
NER,1996,"rgb(72,56,127)",'562,Niger
NGA,1996,"rgb(8,27,219)",'566,Nigeria
NIC,1996,"rgb(1,29,225)",'558,Nicaragua
NLD,1996,"rgb(8,199,48)",'528,Netherlands
NOR,1996,"rgb(14,153,89)",'578,Norway
NZL,1996,"rgb(41,46,168)",'554,New Zealand
OMN,1996,"rgb(14,88,153)",'512,Oman
PAN,1996,"rgb(1,13,241)",'591,Panama
PER,1996,"rgb(35,35,186)",'604,Peru
