code,id,name,chinese_name
NIU,570,Niue,纽埃
NLD,528,Netherlands,荷兰
NOR,578,Norway,挪威
NPL,524,Nepal,尼泊尔
NRU,520,Nauru,瑙鲁
NZL,554,New Zealand,新西兰
OMN,512,Oman,阿曼
PAK,586,Pakistan,巴基斯坦
PAN,591,Panama,巴拿马
PCN,612,Pitcairn,皮特凯恩群岛
PER,604,Peru,秘鲁
PHL,608,Philippines,菲律宾
PLW,585,Palau,帕劳
PNG,598,Papua New Guinea,巴布亚新几内亚
POL,616,Poland,波兰
PRI,630,Puerto Rico,波多黎各
PRK,408,Korea (Democratic People's Republic of),朝鲜
PRT,620,Portugal,葡萄牙
PRY,600,Paraguay,巴拉圭
PSE,275,"Palestine, State of",巴勒斯坦
PYF,258,French Polynesia,法属波利尼西亚
QAT,634,Qatar,卡塔尔
REU,638,R茅union,留尼汪岛
ROU,642,Romania,罗马尼亚
RUS,643,Russian Federation,俄罗斯
RWA,646,Rwanda,卢旺达
SAU,682,Saudi Arabia,沙特阿拉伯
SDN,729,Sudan,苏丹
SEN,686,Senegal,塞内加尔
SGP,702,Singapore,新加坡
SGS,239,South Georgia and the South Sandwich Islands,南乔治亚岛和南桑威奇群岛
SHN,654,"Saint Helena, Ascension and Tristan da Cunha",圣赫勒拿
SJM,744,Svalbard and Jan Mayen,斯瓦尔巴群岛和扬马延岛
SLB,90,Solomon Islands,所罗门群岛
SLE,694,Sierra Leone,塞拉利昂
SLV,222,El Salvador,萨尔瓦多
SMR,674,San Marino,圣马力诺
SOM,706,Somalia,索马里
SPM,666,Saint Pierre and Miquelon,圣皮埃尔和密克隆
SRB,688,Serbia,塞尔维亚
SSD,728,South Sudan,南苏丹
STP,678,Sao Tome and Principe,圣多美和普林西比
SUR,740,Suriname,苏里南
SVK,703,Slovakia,斯洛伐克
SVN,705,Slovenia,斯洛文尼亚
SWE,752,Sweden,瑞典
SWZ,748,Eswatini,斯威士兰
SXM,534,Sint Maarten (Dutch part),圣马丁岛
SYC,690,Seychelles,塞舌尔
SYR,760,Syrian Arab Republic,叙利亚
TCA,796,Turks and Caicos Islands,特克斯和凯科斯群岛
TCD,148,Chad,乍得
TGO,768,Togo,多哥
THA,764,Thailand,泰国
TJK,762,Tajikistan,塔吉克斯坦
TKL,772,Tokelau,托克劳
TKM,795,Turkmenistan,土库曼斯坦
TLS,626,Timor-Leste,东帝汶
TON,776,Tonga,汤加
TTO,780,Trinidad and Tobago,特立尼达和多巴哥
TUN,788,Tunisia,突尼斯
TUR,792,Turkey,土耳其
TUV,798,Tuvalu,图瓦卢
TWN,158,"Taiwan, Province of China",中国台湾省
TZA,834,"Tanzania, United Republic of",坦桑尼亚
UGA,800,Uganda,乌干达
UKR,804,Ukraine,乌克兰
UMI,581,United States Minor Outlying Islands,美国本土外小岛屿
URY,858,Uruguay,乌拉圭
USA,840,United States of America,美国
UZB,860,Uzbekistan,乌兹别克斯坦
VAT,336,Holy See,梵蒂冈
VCT,670,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯
VEN,862,Venezuela (Bolivarian Republic of),委内瑞拉
VGB,92,Virgin Islands (British),英属维尔京群岛
VIR,850,Virgin Islands (U.S.),美属维尔京群岛
VNM,704,Viet Nam,越南
VUT,548,Vanuatu,瓦努阿图
WLF,876,Wallis and Futuna,瓦利斯和富图纳
WSM,882,Samoa,萨摩亚
YEM,887,Yemen,也门
ZAF,710,South Africa,南非
ZMB,894,Zambia,赞比亚
ZWE,716,Zimbabwe,津巴布韦
