id,code,name
1,AL,Australia
2,AU,Austria
3,BE,Belgium
4,CA,Canada
5,DK,Denmark
6,FI,Finland
7,FR,France
8,GE,Germany
9,GR,Greece
10,IT,Italy
11,JP,Japan
12,NE,Netherlands
13,NZ,New Zealand
14,NO,Norway
15,PO,Portugal
16,SP,Spain
17,SW,Sweden
18,UK,United Kingdom
19,US,United States
