import_index,export_index,unknown1,lnXniXnn,lnX'niX'nn,dist1,dist2,dist3,dist4,dist5,dist6,border,r_and_d,human_capital,unknown2,labor,wage,common_language,both_in_EU,both_in_EFTA,distance
14,5,90,-2.84,-3.34,1,0,0,0,0,0,0,-0.107,-0.291,2.21,0.281,-0.211,0,0,0,0.299
14,6,90,-3.58,-2.85,0,1,0,0,0,0,0,-0.07,0.159,0.122,0.17,0.028,0,0,1,0.491
14,7,90,-3.45,-2.62,0,0,1,0,0,0,0,2.97,0.032,2.07,2.49,-0.073,0,0,0,0.836
14,8,90,-2.1,-1.04,0,1,0,0,0,0,0,3.39,0.112,2.96,2.65,-0.024,0,0,0,0.523
14,9,90,-6.67,-6.62,0,0,0,1,0,0,0,-2.47,-0.095,1.77,0.582,-0.907,0,0,0,1.62
14,10,90,-3.61,-2.37,0,0,1,0,0,0,0,2.06,-0.012,2.68,2.38,-0.293,0,0,0,1.25
14,11,90,-3.44,-1.56,0,0,0,0,1,0,0,3.78,0.025,3.23,3.59,-0.243,0,0,0,5.24
14,12,90,-3.48,-5.46,0,1,0,0,0,0,0,1.59,0.025,3.33,1.06,-0.087,0,0,0,0.57
14,13,90,-9.24,-8.79,0,0,0,0,0,1,0,-1.77,0.003,-0.046,-0.35,-0.728,0,0,0,11
14,14,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,15,90,-4.79,-4.66,0,0,0,1,0,0,0,-2.13,-0.349,2.1,0.719,-1.47,0,0,0,1.7
14,16,90,-4.64,-3.55,0,0,1,0,0,0,0,0.388,0.049,1.77,1.88,-0.566,0,0,0,1.48
14,17,90,-1.99,-1.6,1,0,0,0,0,0,1,1.29,0.042,0.373,0.722,-0.037,0,0,1,0.259
14,18,90,-2.53,-1.8,0,1,0,0,0,0,0,3.22,-0.083,2.88,2.57,-0.303,0,0,0,0.718
14,19,90,-2.82,-1.27,0,0,0,0,1,0,0,5.17,0.269,0.714,4.04,0.008,0,0,0,4.05
