3.79E+05,1.281,1.16E+06,21873,0.19253,0,-6.3231,-6.3231,-5.8114,-6.3231,-6.3231,-6.3231,-6.3231,-6.3231,-6.3231,-5.8285,-6.3231,-3.2861,-6.3231,-6.3231,-6.3231,-6.3231,-5.8114,-5.8114,1.44E+05,216.65,369.61,875.57,198.92,330.87,1090.5,3043.5,47.434,1378.5,8741.7,478.72,1962.2,128.91,48.469,185.52,827.74,3727.9,10624,1.79E+05
1.80E+06,11.37,8.46E+05,25066,-1.1615,-8.237,0,-5.3423,-7.7424,-5.3423,-5.1748,-5.3423,-3.9691,-5.7117,-5.0464,-7.7424,-5.3423,-8.237,-5.1748,-5.7117,-5.7117,-5.1748,-5.7117,-7.7424,108.66,7.58E+05,15578,2037.2,3418.2,3731.8,23261,2.50E+05,1441.2,48387,20568,13499,68.686,1898.7,2871.7,4517.9,9421,15192,15389,1.19E+06
6.47E+06,33.418,7.80E+05,32811,-3.3357,-5.4392,-2.5445,0,-4.9446,-2.5076,-2.9139,-1.1345,-2.2117,-2.8771,-2.5076,-4.9446,-1.6462,-5.4392,-2.5445,-2.8771,-2.8771,-2.9139,-1.942,-4.9446,5020.6,27875,1.11E+06,12823,18728,17221,5.41E+05,8.29E+05,3502.2,1.66E+05,74261,5.18E+05,2897.4,26197,13718,45788,75136,2.90E+05,1.83E+05,3.96E+06
6.63E+05,1.167,1.90E+06,31334,0.41181,-5.3585,-5.3755,-5.3755,0,-5.3755,-5.3755,-5.3755,-5.3755,-5.3755,-5.3755,-5.8701,-5.3755,-5.3585,-5.3755,-5.3755,-5.3755,-5.3755,-4.8639,-2.1678,263.57,367.03,475.14,2.03E+05,205.06,325.65,2329.9,3392.8,41.255,1667.6,8316.5,521.97,173.43,720.48,109.63,382.05,833.31,3969,83932,3.11E+05
7.99E+05,6.189,5.17E+05,28712,-1.7506,-7.0672,-4.1724,-4.1355,-6.5725,0,-4.1724,-4.1355,-3.2741,-4.505,-4.505,-6.5725,-4.1355,-7.0672,-3.6068,-4.6892,-4.505,-3.6068,-4.1355,-6.5725,167.19,2350.7,5683.3,453.03,1.69E+05,5587.1,10085,42346,360.29,7584.8,6526.7,10056,117.39,8362.2,2143.1,1727.6,20269,15284,9353.8,3.17E+05
5.15E+05,3.824,4.63E+05,36456,-0.52278,-7.894,-4.8317,-5.3686,-7.3993,-4.9992,0,-5.3686,-4.9992,-5.5528,-5.3686,-7.3993,-5.3686,-7.894,-4.4623,-5.5528,-5.5528,-3.6008,-5.3686,-7.3993,28.548,1422.1,2517.7,556.94,3108.7,1.92E+05,4269.9,17249,186.22,4500.8,5100.4,2713.3,12.738,3022.8,1002.3,839.63,12939,7251,5350.9,2.65E+05
6.51E+06,5.445,4.56E+06,32957,1.2818,-6.3402,-3.4454,-2.0354,-5.8455,-3.4085,-3.8148,0,-3.1127,-3.778,-3.1127,-6.3402,-2.843,-6.3402,-3.8148,-3.778,-3.1127,-3.8148,-2.843,-5.8455,1545.9,10983,1.04E+05,5703.4,9420.5,9134.3,2.65E+06,2.58E+05,2919.5,1.43E+05,38342,54428,588.52,10284,13824,58214,17682,97112,80967,3.57E+06
2.43E+06,1.616,8.93E+06,34627,2.3538,-5.5583,-1.2904,-2.3308,-5.0637,-1.7652,-2.6635,-2.3308,0,-2.9961,-2.3308,-5.0637,-1.7652,-5.5583,-2.6635,-2.9961,-2.9961,-2.6635,-2.6267,-5.0637,820.61,23699,37266,2797.8,8758.5,5308.9,55143,1.40E+06,2599.8,49444,27996,43279,351.79,5752.8,4422.6,11801,12034,37481,30849,1.76E+06
1.30E+07,158.51,3.46E+05,14319,-2.8137,-8.9161,-6.3908,-6.3539,-8.4215,-6.3539,-6.575,-6.3539,-6.3539,0,-5.9845,-8.4215,-6.3539,-8.9161,-6.575,-6.5381,-6.3539,-6.3908,-6.3539,-8.4215,1180.5,41130,1.07E+05,7994,36847,22865,2.40E+05,6.30E+05,3.76E+06,4.63E+05,1.49E+05,1.74E+05,5776.9,13718,12000,63865,41868,1.82E+05,94802,6.05E+06
1.31E+09,1198.1,5.14E+06,26448,1.7823,-6.4876,-3.2969,-3.5559,-5.9929,-3.9254,-3.9622,-3.2601,-3.2601,-3.5559,0,-6.4876,-3.9254,-6.4876,-3.9622,-3.9254,-3.9254,-3.9622,-3.9254,-5.9929,5.51E+05,4.69E+06,9.57E+06,1.07E+06,1.79E+06,1.05E+06,2.66E+07,4.46E+07,1.43E+06,6.60E+08,4.28E+06,8.86E+06,1.45E+05,8.51E+05,7.02E+05,6.79E+06,3.18E+06,1.19E+07,8.94E+06,7.97E+08
